name;year;genre;director;cast;rating;votes
Mauj;1943;**;Nanabhai Bhatt;*Babubhai Mistry,Fearless Nadia,*;;
Mauji Jeevan;1944;**;Ghori;*,,*;;
Mauqaa;1978;*Romance*;;*,,*;;
Mausam;1975;*Musical, Romance*;Gulzar;*Sanjeev Kumar,Sharmila Tagore,Om Shivpuri*;8.1;868
Mausam;2011;*Drama, Romance, War*;Pankaj Kapur;*Shahid Kapoor,Sonam Kapoor,Anupam Kher*;4.7;"5;258"
Mausam Badlaa Hain;1978;*Romance*;;*,,*;;
Mausam Ikrar Ke Do Pal Pyar Ke;2018;*Drama*;Partho Ghosh;*Mukesh J Bharti,Madalsa Sharma,Manju Bharti*;2.8;10
Mausam Suhana;1983;*Romance*;Vasant Dalal;*Anjan Srivastav,,*;;
Mausi;1958;*Drama*;Ramesh Deo;*Sumati Gupte,Baburao Pendharkar,*;;
Maut;1998;*Horror*;Jeetu;*Sapna Sappu,Raj Premi,Shabbir*;4.3;25
Maut Ka Badla Maut;1985;*Action, Adventure, Drama*;K.S. Rami Reddy;*Kavita,Vijayalalitha,Ramana Murthi J.V.*;;
Maut Ka Jungle;2003;*Horror*;;*,,*;;
Maut Ka Khel;2001;*Horror*;Rakesh Sawant;*Asrani,Abhay Bhargava,Kiran Kumar*;;
Maut Ka Pinjra;2001;*Horror*;Brij Gopal;*Anil Nagrath,Rakesh Pandey,Aman Sagar*;;
Maut Ka Saya;1982;*Drama*;Tulsi Ramsay;*Geeta Behl,Anil Dhawan,Vijayendra Ghatge*;7;6
Maut Ka Toofan;1935;**;Gulzar;*,,*;;
Maut Ke Farishtey;1990;*Action, Thriller*;Amrita Singh;*,,*;;
Maut Ke Peeche Maut;2003;*Horror*;Kishan Shah;*Hemant Birje,Brij Gopal,K.K. Goswami*;4.2;6
Maut Ke Saudagar;1986;*Action*;Kiran Kumar;*,,*;;
Maut Ki Dahshat;2004;*Horror*;Aman Sagar;*Shabnam,Rajesh Sabharwal,Rajeev Raj*;;
Maut Ki Ghati;1987;*Action*;K.S.R. Das;*Anuradha,Jayamalini,Bheema Raju*;;
Maut Ki Haveli;2001;*Horror*;A. Raja;*Sohail Khan,Yamani,Deepak Shirke*;;
Maut Ki Ladai;1989;*Action, Thriller*;Narayana Rao Dasari;*Krishna,Jaya Prada,Sridevi*;4.4;10
Maut Ki Lakeer;1991;*Action*;;*,,*;;
Maut Ki Lalkar;1989;*Action*;Kodanda Rami Reddy A.;*Chiranjeevi,Suresh Oberoi,Radha*;;
Maut Ki Pukar;2001;*Horror*;Kanti Shah;*,,*;;
Maut Ki Raat;2000;*Horror*;Satyendra Gupta;*Vijay Gupta,Satnam Kaur,Lalitesh*;;
Maut Ki Sazaa;1991;*Crime*;Devendra Khandelwal;*Ashok Kumar,Anita Raj,Alok Nath*;;
Maut Phir Aayegi;2018;*Horror*;Agrawal Mukesh Narayan;*Vinod Tripathi,Parveer Aggarwal,Neeta Yadav*;;
Maut Se Mukabala;1990;*Action*;Anuradha;*Bob Christo,Arti Gupta,Manik Irani*;;
Mawaali;1983;*Action, Drama*;K. Bapaiah;*Jeetendra,Sridevi,Jaya Prada*;5.4;76
Mawali Ek Playboy;2005;*Action*;Trisha Krishnan;*Nithiin,Saurabh Shukla,*;4.7;15
Mawali No.1;2002;*Action*;Leela Prasad;*Sadashiv Amrapurkar,Mithun Chakraborty,Indraja*;3.5;8
Maximum;2012;*Action, Crime, Drama*;Kabeer Kaushik;*Sonu Sood,Naseeruddin Shah,Neha Dhupia*;4.7;202
May-16;;*Action, Comedy, Thriller*;Dharma;*Vamsi Yakasiri,,*;;
Maya;2001;*Drama*;Digvijay Singh;*Anant Nag,Mita Vashisht,Nitya Shetty*;7;278
Maya;1993;*Drama, Mystery, Romance*;Ketan Mehta;*Deepa Sahi,Farooq Shaikh,Raj Babbar*;5.4;"2;081"
Maya;1961;*Drama, Romance*;D.D. Kashyap;*Dev Anand,Mala Sinha,Lalita Pawar*;7.5;55
Maya;1936;*Drama, Romance*;P.C. Barua;*Pahadi Sanyal,Jamuna,Krishna Chandra Dey*;;
Maya Bazaar;1949;*Fantasy*;Datta Dharmadhikari;*Durga Khote,Shahu Modak,Baby Shakuntala*;;
Maya Bazaar;1958;*Adventure, Fantasy*;Babubhai Mistry;*Mahipal,Anita Guha,Raj Kumar*;6.5;21
Maya Bazaar;1932;**;Khatun;*Baburao Pendharkar,,*;;
Maya Bazar;1984;*Fantasy*;Babubhai Mistry;*Dara Singh,Rakesh Pandey,Rita Bhaduri*;;
Maya Darpan;1972;*Drama*;Kumar Shahani;*Aditi,Iqbalnath Kaul,Anil Pandya*;6.9;69
Maya Jaal;1962;*Action, Adventure, Fantasy*;Babubhai Mistry;*Bhudo Advani,Mumtaz Begum,Chitra*;;
Maya Jaal;1933;**;Bhudo Advani;*Ameena,Bibbo,Paidi Jairaj*;;
Maya Machhindra;1951;*Fantasy*;Aspi Irani;*Trilok Kapoor,Amirbai Karnataki,Usha Kiran*;;
Maya Machhindra;1960;*Adventure, Drama*;Babubhai Mistry;*Nirupa Roy,Manher Desai,Raj Kumar*;;
Maya Machhindra;1932;**;Shantaram Rajaram Vankudre;*Govindrao Tembe,Durga Khote,Master Vinayak*;5.8;13
Maya Machindra;1975;*Drama*;S.N. Tripathi;*Abhi Bhattacharya,Kanan Kaushal,Satyajeet*;7.9;9
Maya Mahal;1963;**;Chandrakant;*Bela Bose,Helen,Indira*;;
Maya Mahal;1949;**;K. Talpade;*Fearless Nadia,John Cawas,Dalpat*;;
Maya Nagari;1944;*Action, Fantasy*;Dhirubhai Desai;*Natwar Shyam,Rajkumari,Yashwant Dave*;;
Maya Nagri;1957;*Drama*;Mahipal;*Shakila,Murad,Krishna Kumari*;;
Maya Sundari;1967;**;A.S.A. Sami;*Gemini Ganesan,Madhumati,Savitri*;;
Mayday;2022;*Drama, Thriller*;Ajay Devgn;*Amitabh Bachchan,Rakul Preet Singh,Ajay Devgn*;;
Mayooraa;1976;*Drama*;T.N. Balakrishna;*Manjula,Rajkumar,Srinath*;7.9;16
Mayura;1976;*Drama*;Rajkumar;*K.S. Ashwath,T.N. Balakrishna,Shashi Kiran*;8.6;41
Mayuri;1983;*Drama*;Birendra;*Abhi Bhattacharya,Vasant Choudhury,Jagdeep*;;
Mayurpankh;1954;*Adventure, Drama, Musical*;Kishore Sahu;*Kishore Sahu,Sumitra Devi,Odette Ferguson*;5.9;16
Maza Aur Mauj Masti;2005;*Crime, Drama, Thriller*;Sateesh B.K.;*Mohan Juneja,Sureema Mukharjee,Raj Premi*;;
Mazaa Masti Ka;1991;*Thriller*;;*,,*;;
Mazaa Mazaa;2005;*Romance*;T.L.V. Prasad;*Farid Amiri,Mridula Baruah,Pankaj Berry*;2.7;58
Mazaa. A.A.;2005;*Thriller*;;*,,*;;
Mazaaq;1943;**;Zahur Raja;*Tara,,*;;
Mazaaq;1975;*Comedy*;Haidar Ali;*Vinod Mehra,Moushumi Chatterjee,Aruna Irani*;6.7;17
Mazdoor;1934;*Drama*;Mohan Dayaram Bhavnani;*Bibbo,S.B. Nayampalli,Paidi Jairaj*;8.5;6
Mazdoor;1945;**;Nitin Bose;*Upendranath Ashk,K.N. Singh,*;;
Mazdoor;1983;*Drama, Romance*;Ravi Chopra;*Dilip Kumar,Nanda,Raj Babbar*;6.5;99
Mazdoor Zindabaad;1976;*Drama*;Naresh Kumar;*Randhir Kapoor,Parveen Babi,Manmohan Krishna*;5.7;14
Maze Le Lo;1975;*Comedy*;Master Bhagwan;*Preeti Ganguli,Jagdeep,I.S. Johar*;;
Mazhab;1996;*Drama*;Parvez Jamal;*Vandana Bhardwaj,Shailesh Chandrakant,Ashutosh Gowariker*;;
Mazloom;1986;*Action, Crime, Drama*;C.P. Dixit;*Bina,Feroz,Goga Kapoor*;4.8;8
Me and Mrs. Khanna;2009;*Comedy, Drama, Romance*;Prem Soni;*Salman Khan,Kareena Kapoor,Sohail Khan*;3.6;"2;925"
Medal;2018;*Drama*;Ganesh Mehta;*Muzahid Khan,Indrisha Basu,Tanushri Basak*;7.9;7
Mee Raqsam;2020;*Drama*;Baba Azmi;*Juhaina Ahsan,Shivangi Gautam,Danish Husain*;6.7;384
Mee Sindhutai Sapkal;2010;*Biography, Drama*;Ananth Narayan Mahadevan;*Jyoti Chandekar,Ameya Hunaswadkar,Neena Kulkarni*;6.9;126
Meena;1944;**;Phani Majumdar;*Dixit,Sashi Kapoor,*;;
Meena Bazaar;1950;*Drama*;Ravindra Dave;*Nargis,,*;7.9;13
Meena Bazar;1991;*Drama*;P. Chandra Kumar;*Ishrat Ali,Coca Cola,Poonam Dasgupta*;4.8;12
Meena Kumari Ki Amar Kahani;1981;*Drama*;Sohrab Modi;*Dolly,Sona Mastan Mirza,Bharat Bhushan*;7.9;13
Meenakshi;1942;*Drama*;Modhu Bose;*Sadhona Bose,Ahindra Choudhury,Rajlakshmi Devi*;7.2;12
Meenakshi Sundareshwar;;*Comedy, Romance*;Vivek Soni;*Sanya Malhotra,Abhimanyu Dasani,Ritika Shrotri*;;
Meenar;1954;*Mystery*;Hemen Gupta;*Bharat Bhushan,Bina Rai,Pran*;;
Meenaxi: Tale of 3 Cities;2004;*Drama, Musical, Romance*;M.F. Hussain;*Tabu,Raghuvir Yadav,Nadira Babbar*;6.2;292
Meendum Kokila;1981;*Comedy, Drama, Romance*;G.N. Rangarajan;*Kamal Haasan,Sridevi,Unni Mary*;6.2;115
Meera;1979;*Drama, History*;Gulzar;*Hema Malini,Vinod Khanna,Shammi Kapoor*;6.6;109
Meera;1947;**;Ellis Dungan;*M.S. Subbalakshmi,,*;7.7;14
Meera Ka Mohan;1992;*Romance*;K. Ravi Shankar;*Avinash Wadhawan,Ashwini Bhave,Pran*;5.5;14
Meera Ke Girdhar;1992;*Drama*;Upasna Khosla;*Viren Mathan,Parikshit Sahni,Himani Shivpuri*;;
Meera Shyam;1976;*Drama, Fantasy*;Abhi Bhattacharya;*Paidi Jairaj,Alankar Joshi,Kanan Kaushal*;;
Meerabai;1947;**;W.Z. Ahmed;*Masud Pervaiz,Nirupa Roy,Tiwari*;;
Meerabai Not Out;2008;*Comedy, Drama, Romance*;Chandrakant Kulkarni;*Anupam Kher,Mahesh Manjrekar,Mandira Bedi*;3.9;87
Meeradha;2016;*Romance*;Aashish Sinha;*Sandesh Gour,Venus Jain,Suhani Jethlia*;6.6;19
Meeruthiya Gangsters;2015;*Comedy, Crime*;Zeishan Quadri;*Jaideep Ahlawat,Aakash Dahiya,Jatin Sarna*;7.2;623
Meet Mere Man Ke;1991;*Action, Drama*;Mehul Kumar;*Feroz Khan,Salma Agha,Prasenjit Chatterjee*;5.3;13
Meetha Jahar;1938;*Drama*;Sohrab Modi;*Sohrab Modi,Naseem Banu,Gajanan Jagirdar*;;
Meetha Zahar;2005;*Thriller*;;*,,*;;
Meetha Zehar;1985;*Action, Drama*;Mohinder;*Deepak Parashar,Padmini Kapila,Om Prakash*;5;6
Meethi Meethi Raten;1991;*Thriller*;Gopal Krishna;*Poonam Dasgupta,Sukumaran,*;;
Meethi Nazar;1935;**;Harshadrai Sakerlal Mehta;*M. Bhagwandas,Rampiary,*;;
Megalopolis;2018;*Mystery*;Rohit Mittal;*Kuldeep Patil,Naina Sareen,Arjun Radhakrishnan*;6.6;18
Megha;1996;*Romance*;Mohanji Prasad;*Shammi Kapoor,Karisma Kapoor,Rahul Roy*;3.7;62
Meghdoot;1945;**;Debaki Bose;*Leela Desai,Shahu Modak,*;6.4;9
Mehak;1985;*Family*;Chander H. Bahl;*Vijayendra Ghatge,Deepak Parashar,Shoma Anand*;;
Mehak Sugandh;2021;*Drama*;Vivek Chauhan;*Rk Vashist,Kafil Ahmed,Aryav*;;
Mehandi;1947;**;Sibtain Fazli;*Ajit,Karan Dewan,Nargis*;;
Mehandi Ban Gai Khoon;1991;*Action*;R.S. Ghelan;*Birbal,Aashish Chanana,Juhi Chawla*;4.8;19
Meharbaan;1993;*Romance*;K. Ravi Shankar;*Sadashiv Amrapurkar,Harbans Darshan M. Arora,Mithun Chakraborty*;5.7;44
Meharbaan;2005;*Drama*;;*,,*;;
Meharbaani;1982;*Drama*;Ajit Singh Deol;*A. Nairang,Mahendra Sandhu,Sarika*;6.1;22
Meharbani;1950;**;K. Amarnath;*Ajit,Gope,Indu Pal*;;
Mehboob Ki Mehndi;1971;*Drama, Musical, Romance*;Harnam Singh Rawail;*Rajesh Khanna,Leena Chandavarkar,Pradeep Kumar*;6.7;119
Mehboob Mere Mehboob;1992;*Romance*;Ramanjit Juneja;*Harnam Singh Rawail,Gurdip Singh,Sujoy Mukherjee*;5.7;11
Mehbooba;1954;*Adventure, Romance*;K. Amarnath;*Gope,Hiralal,Nalini Jaywant*;7.4;7
Mehbooba;1976;*Drama, Romance*;Shakti Samanta;*Rajesh Khanna,Hema Malini,Prem Chopra*;6.5;144
Mehbooba;2008;*Drama, Romance*;Tabrez Hashmi;*Afzal Khan,Sanjay Dutt,Manisha Koirala*;3.5;351
Mehbooba;1965;*Romance*;Manher Desai;*Leela Gupte,Anwar Hussain,Kamal Mehra*;;
Meher;2020;*Drama*;Rajat Bhardwaj;*Amrit,Dimple Chauhan,Sapna Das*;9.3;27
Mehfil;1957;*Drama*;Daljeet;*Jankidas,Rehana,*;;
Mehlon Ke Khwab;1960;*Drama, Romance*;Muhafiz Haider;*Kishore Kumar,Chanchal,Pradeep Kumar*;6.7;16
Mehmaan;1972;*Animation*;Bhimsain;*,,*;;
Mehmaan;1973;*Action, Crime, Drama*;Kolli Pratyagatma;*Biswajit Chatterjee,Rekha,Sulochana Latkar*;5.7;6
Mehmaan;1953;**;Ramanand Sagar;*Prem Nath,Nimmi,Sajjan*;;
Mehmil;1972;**;Bibhuti Mitra;*Farah,Jayant,Shiv Kumar*;;
Mehndi;1998;*Drama*;Hamid Ali Khan;*Faraaz Khan,Rani Mukerji,Ushma Rathod*;3.4;299
Mehndi;1958;*Drama, Family*;S.M. Yusuf;*Ajit,Jayashree,Veena*;5.3;6
Mehndi;1983;*Action, Drama, Romance*;Asit Sen;*Vinod Mehra,Raj Babbar,Ranjeeta Kaur*;7.2;21
Mehndi Lagi Mere Haath;1962;*Comedy, Drama, Romance*;Suraj Prakash;*Ashok Kumar,Nanda,Shashi Kapoor*;5.9;23
Mehndi Rang Layegi;1982;*Drama, Family*;Narayana Rao Dasari;*Jeetendra,Rekha,Anita Raj*;5.5;17
Mehrban;1967;*Drama*;A. Bhimsingh;*Ashok Kumar,Sulochana Latkar,Sunil Dutt*;7.2;47
Mehroom;;*Romance*;Asif Khan;*Siddharth Gupta,Diana Khan,Humayoon Shams Khan*;;
Mehryaar;;*Drama, Romance*;Jaiyanth Vasanth Sinha;*Thalaivasal Vijay,Preeta Mathur,Atul Mathur*;;
Mehsampur;2018;*Drama*;Kabir Singh Chowdhry;*Chamkara,Chamak Chamkila,Lal Chand*;6.6;41
Mein Bikaaoo: On Sale;2004;*Drama*;B.R. Ishara;*Ali Asgar,Shama Deshpande,Kalpana Iyer*;;
Mein Hoon Pyassi Suhagan;2001;*Action, Crime, Drama*;H.B. Singh;*Krishna Bansal,Sumeet Batra,Archana K. Bera*;;
Meinu Ek Ladki Chaahiye;2014;*Comedy, Crime, Drama*;Abhishek Bindal;*Rashee Bindal,Puru Chibber,Reecha Sinha*;2.9;11
Mela;1948;*Family, Romance, Drama*;S.U. Sunny;*Nargis,Dilip Kumar,Jeevan*;7.5;98
Mela;1971;*Drama, Family*;Prakash Mehra;*Sanjay Khan,Feroz Khan,Mumtaz*;6.8;44
Mela;2000;*Action, Adventure, Comedy*;Dharmesh Darshan;*Aamir Khan,Twinkle Khanna,Faisal Khan*;3.8;"4;247"
Melody;1997;*Drama, Musical*;Sai Paranjape;*Shabana Azmi,Aruna Irani,Zakir Hussain*;6.4;123
Mem Sahib;1956;*Comedy, Drama, Romance*;R.C. Talwar;*Meena Kumari,Shammi Kapoor,Pratima Devi*;7.2;36
Mem-Didi;1961;*Comedy, Drama*;Hrishikesh Mukherjee;*Lalita Pawar,David Abraham,Tanuja*;7.4;31
Memories;1964;*Drama, Mystery*;Sunil Dutt;*Sanjay Dutt,Sunil Dutt,Nargis*;7.6;97
Memories in March;2010;*Drama*;Sanjoy Nag;*Deepti Naval,Raima Sen,Rituparno Ghosh*;7.2;442
Memories of Fear;1995;*Drama*;Dutta Madhusree;*Atisha Furtado,Navjot Hansra,Harish Khanna*;;
Memsaab;1971;*Thriller*;Atma Ram;*Yogeeta Bali,Vinod Khanna,Johnny Walker*;6.1;17
Memsaab No.1;2002;*Thriller*;Rajendra Gupta;*Johny Fever,Satnam Kaur,Ali Khan*;;
Memsahab;2008;*Thriller*;Arshad Siddiqui;*Shatakshi Gupta,Rufy Khan,Amit Misra*;;
Men Not Allowed;2006;*Drama, Romance*;Shrey Srivastava;*Payal Rohatgi,Tina Mazumdar,Nassar Abdulla*;3.6;38
Men Will Be Men;2011;*Comedy*;Gorky;*Gaurav Chopra,Zeenal Kamdar,Rajesh Khattar*;5.1;8
Menka;2001;*Thriller*;K.I. Sheikh;*Ishrat Ali,Brij Gopal,Mohan Joshi*;;
Menstrual Man;2013;*Documentary, Biography*;Amit Virmani;*Aditi Mittal,,*;8.2;78
Mera Badla;1985;*Action*;R.C. Sakthi;*Y.G. Mahendran,Rajinikanth,Sridevi*;3.8;12
Mera Bhai Mera Dushman;1967;*Drama, Family*;Mohammed Hussain;*Prem Nath,Shyama,Jagdish Kumar*;;
Mera Challenge;1989;**;Anil Nagrath;*Tina Ghai,,*;;
Mera Damad;1995;*Comedy, Drama*;Partho Ghosh;*Utpal Dutt,Ashok Kumar,Farooq Shaikh*;4.4;794
Mera Desh;1998;*Action*;R.V. Udayakumar;*Monica Bedi,Revathi,Arjun Sarja*;;
Mera Desh Mera Dharam;1973;*Drama*;Dara Singh;*Dara Singh,Ratan Aulakh,Mumtaz Begum*;5.6;11
Mera Dharam;1986;*Action, Thriller*;Bapu;*Jackie Shroff,Amrita Singh,Shakti Kapoor*;4.1;8
Mera Dharam Meri Maa;1976;*Drama*;Bhupen Hazarika;*Bengia Mala,Nabam Tata,Tadu Tayung*;7.9;11
Mera Dil Leke Dekho;2006;*Comedy, Romance*;Rohit Kaushik;*Jackie Shroff,Archana Puran Singh,Koel Purie*;6.6;56
Mera Dil Tere Liye;1992;*Romance*;S.A. Chandrashekhar;*Gopi Bhalla,Dinesh,Aruna Irani*;4.8;8
Mera Dost;1969;*Action, Drama, Family*;Roshan Lal Malhotra;*Mumtaz,Sheikh Mukhtar,Aruna Irani*;;
Mera Dosti Tera Pyar;1977;*Romance*;Vijaya Choudhury;*Geetanjali,Rajan,*;;
Mera Faisla;1984;*Action*;S.V. Rajendra Singh Babu;*Sanjay Dutt,Rati Agnihotri,Jaya Prada*;3.9;43
Mera Faisla;2005;*Action*;;*,,*;3.6;8
Mera Farz;1989;*Action*;K. Raghavendra Rao;*Nagarjuna Akkineni,Amrish Puri,Sridevi*;5.4;21
Mera Farz Mera Karz;1992;*Action*;Kodanda Rami Reddy A.;*Chiranjeevi,Radha,Silk Smitha*;;
Mera Gaon;1942;**;Aghajani;*,,*;;
Mera Gaon Mera Desh;1971;*Action, Drama*;Raj Khosla;*Asha Parekh,Dharmendra,Vinod Khanna*;7;302
Mera Gawah Bhagwan;1992;*Drama*;R. Raghu;*Karthik,Kushboo,*;;
Mera Geet;1946;**;Mukri;*,,*;;
Mera Ghar Mere Bachche;1960;*Drama, Family*;Sohrab Modi;*Sohrab Modi,Subbiraj,Kumari Naaz*;;
Mera Haq;1939;**;Parshwanath Yeshwant Altekar;*Usha Mantri,Baburao Pendharkar,*;;
Mera Haque;1986;*Action*;Ajay Kashyap;*Sanjay Dutt,Anita Raj,Gulshan Grover*;4.7;36
Mera Imaan;1934;**;Nagendra Majumdar;*Gohar,K. Narayan Kale,*;;
Mera Inteqaam;2000;*Action*;;*,,*;;
Mera Inteqam;1985;*Action*;S.P. Muthuraman;*S.P.M. Raman,Rati Agnihotri,Y.G. Mahendra*;6.6;7
Mera Javai N.R.I.;;*Family*;Ajay Dixit;*,,*;;
Mera Jawab;1985;*Action*;N.S. Raj Bharath;*Jackie Shroff,Meenakshi Sheshadri,Shakti Kapoor*;5.6;35
Mera Jiwan;1976;*Drama*;Bidoo Shukla;*Vidya Sinha,Dushyanath,Ambika Johar*;;
Mera Kanoon Mera Insaaf;1995;*Action*;;*,,*;;
Mera Karam Mera Dharam;1987;*Drama*;Dulal Guha;*Dharmendra,Moushumi Chatterjee,Johnny Walker*;5.5;27
Mera Kaun?;2003;*Mystery*;Bharat Kapoor;*Goga Kapoor,Rajendra Kaur,Shikhar Kumar*;;
Mera Khwab;1944;**;Zebunissa;*,,*;;
Mera Ladka;1938;**;K. Narayan Kale;*Shanta Hublikar,Ulhas,Mama Bhatt*;;
Mera Lahoo;1987;*Action, Crime, Drama*;Veerendra;*Birbal,Sunil Dhawan,Govinda*;5.4;39
Mera Munna;1948;**;Vishram Bedekar;*Leela Mishra,Motilal,*;;
Mera Munna;1967;*Drama, Family*;Madhusudan;*Manorama,Nutan,Rehman*;;
Mera Muqaddar;1988;*Action*;K. Pappu;*Swapna,Amrit Raj,Tanuja*;;
Mera Naam Johar;1968;*Comedy, Drama*;Sarankant;*I.S. Johar,Sonia Sahni,Tiwari*;5.8;11
Mera Naam Joker;1970;*Comedy, Drama*;Raj Kapoor;*Raj Kapoor,Manoj Kumar,Simi Garewal*;8;"4;684"
Mera Naseeb;1989;*Drama*;S. Karnam;*Rohan Kapoor,Anuradha Patel,Sahil Vaid*;4.1;7
Mera Pati Meri Zindagi;1993;*Drama*;Sudhir Dalvi;*Javed Khan,Sandhu Raj,Upasna Singh*;;
Mera Pati Sirf Mera Hai;1990;*Drama, Family*;Manobala;*Jeetendra,Rekha,Radhika Sarathkumar*;3.8;37
Mera Punjab;1940;**;Krishna Dev Mehra;*,,*;;
Mera Pyara;1935;**;Ezra Mir;*Vimala Vasishta,,*;;
Mera Pyara Bharat;1994;*Action*;Rama Rao Tatineni;*Tisca Chopra,Prabhu Deva,Puneet Issar*;;
Mera Qasoor Kya Hai;1964;*Drama*;R. Krishnan;*S. Panju,Dharmendra,Nanda*;6.2;13
Mera Rakshak;1978;*Action, Crime, Drama*;R. Thyagaraajan;*Mithun Chakraborty,Abhi Bhattacharya,Shreeram Lagoo*;4.6;19
Mera Ram Kho Gaya;2019;*Drama*;Prabhash Chandra;*Apoorvanand,Syeda Saiyidain Hameed,Jaya Iyer*;;
Mera Ramrajya Nai Kranti;2020;*Drama*;Shyam Bharteey;*Shyam Bharteey,Ashwin Krishna Gaur,Aman Gupta*;8.8;16
Mera Saathi;1985;*Drama*;K. Raghavendra Rao;*Jeetendra,Jaya Prada,Rajiv Kapoor*;4.9;14
Mera Saaya;1966;*Drama, Musical, Mystery*;Raj Khosla;*Sunil Dutt,Sadhana,Jagdish Sethi*;7.6;864
Mera Saaya;2001;*Horror*;Aashnee;*Biswajit Chatterjee,Shakti Kapoor,Shehzad Khan*;;
Mera Sab Kuchh Tera;2002;*Romance*;;*,,*;;
Mera Salaam;1957;*Romance*;Harbans;*Bharat Bhushan,Bina Rai,K.N. Singh*;;
Mera Salaam;1981;*Drama*;Altaf;*Chandrashekhar,Arpana Choudhary,Nasir Hussain*;;
Mera Shikar;1988;*Action*;Keshu Ramsay;*Dimple Kapadia,Kabir Bedi,Danny Denzongpa*;3.9;7
Mera Shikar;1973;*Action*;Kamran;*Ameeta,Anwar Hussain,Kamran*;;
Mera Sona;2003;*Thriller*;Shakeela;*,,*;;
Mera Suhaag;1947;*Drama, Family*;Amiya Chakrabarty;*Kamala Kotnis,Sulochana Chatterjee,Arun*;;
Mera Suhaag;1961;*Drama*;Hunsur Krishnamurthy;*Arun,Sulochana Chatterjee,Kanta Rao*;;
Mera Suhag;1987;*Drama, Family*;Ajay Sharma;*Rati Agnihotri,Pankaj Dheer,Deepti Naval*;;
Mera Vachan Geeta Ki Kasam;1977;*Action*;Vinod Kumar;*Sanjay Khan,Saira Banu,Ajit*;5.6;10
Mera Yaar Mera Dushman;1969;*Action, Drama, Family*;Anil Ganguly;*Mumtaz,,*;;
Mera Yaar Mera Dushman;1987;*Musical*;Anil Ganguly;*Beena Banerjee,Master Bhagwan,Ardhendu Bose*;4.3;9
Meraa Dost Meraa Dushman;1984;*Action*;Raj Khosla;*Shatrughan Sinha,Smita Patil,Geeta Behl*;5.2;12
Meraa Ghar Mere Bachche;1985;*Drama, Family*;Chander Vohra;*Raj Babbar,Smita Patil,Meenakshi Sheshadri*;4.7;20
Mere Aagosh Mein;2000;*Thriller*;B. Prasad;*Rana Jung Bahadur,Kirti,Kirti Shetty*;5.5;11
Mere Apne;1971;*Drama*;Gulzar;*Meena Kumari,Vinod Khanna,Shatrughan Sinha*;7.4;536
Mere Arman Mere Sapne;1963;*Drama*;Aravind Sen;*Pradeep Kumar,Pran,Agha*;;
Mere Baad;1988;*Drama*;Vishwamitra;*Maya Alagh,Beena Banerjee,Anil Dhawan*;6.6;30
Mere Baap Pehle Aap;2008;*Comedy, Drama, Romance*;Priyadarshan;*Akshaye Khanna,Paresh Rawal,Genelia D'Souza*;5.4;"2;058"
Mere Bhagwan;1947;**;Mohan Sinha;*Madhubala,Surendra,Wasti*;;
Mere Bhaiya;1972;*Drama, Family*;Satyen Bose;*Vijay Arora,Nazima,Suresh Chatwal*;5.6;13
Mere Brother Ki Dulhan;2011;*Comedy, Drama, Family*;Ali Abbas Zafar;*Imran Khan,Katrina Kaif,Ali Zafar*;5.8;"8;946"
Mere Dad Ki Maruti;2013;*Comedy, Drama, Romance*;Ashima Chibber;*Saqib Saleem,Rhea Chakraborty,Ram Kapoor*;6.4;"4;535"
Mere Data Garib Nawaz;1994;*Drama*;Mohan Choti;*Satish Kaul,Neelam Mehra,Raza Murad*;;
Mere Desh Ki Dharti;2021;*Drama*;Faraz Haider;*Inaamulhaq,Anupriya Goenka,Divyendu Sharma*;;
Mere Do Anmol Ratan;1998;*Drama*;K. Ravi Shankar;*Arshad Warsi,Namrata Shirodkar,Mukul Dev*;5;45
Mere Dost Picture Abhi Baaki Hai;2012;*Comedy*;Rajnish Thakur;*Sunil Shetty,Udita Goswami,Rajpal Yadav*;3.5;191
Mere Genie Uncle;2015;*Comedy*;Ashish Bhavsar;*Yash Acharya,Navina Bole,Hetvi Charla*;4;7
Mere Ghar Bhi Aaja Na Maa;2019;*Music*;Prakash Tiwari Madhur;*,,*;;
Mere Gharib Nawaz;1973;*Drama*;Agha;*Jalal Agha,Anwar Ali,Satish Arora*;;
Mere Gunaah;2016;*Drama*;Nitin Trivedi;*Pankaj Berry,Sahaj Bhadoria,Mohit Jain*;;
Mere Hamdam Mere Dost;1968;*Musical, Romance, Thriller*;Amar Kumar;*Dharmendra,Sharmila Tagore,Rehman*;6.9;72
Mere Haule Dost;2013;*Comedy, Drama*;Nitin Raghunath;*Aadil Abedi,Catherine Fallows,Kiran Gadalay*;6.7;26
Mere Humsafar;1970;*Drama, Romance*;Dulal Guha;*Sharmila Tagore,Jeetendra,Balraj Sahni*;7;53
Mere Huzoor;1968;*Drama, Romance*;Vinod Kumar;*Mala Sinha,Raaj Kumar,Jeetendra*;6.4;59
Mere Jeevan Saathi;1972;*Drama, Adventure, Action*;Ravikant Nagaich;*Rajesh Khanna,Tanuja,Sujit Kumar*;6.9;168
Mere Jeevan Saathi;2006;*Drama, Music, Romance*;Suneel Darshan;*Akshay Kumar,Karisma Kapoor,Ameesha Patel*;3.5;902
Mere Jinvar Mere Guruvar;2021;*Biography*;Sunil Acharya;*Bhagyashri,Ankita Lokhanda,Govind Namdeo*;;
